System,Issue URL,Symptom Category,Symptom Sub-Category,Symptom Stage,Root Cause Category,Root Cause Sub-Category,Root Cause Stage,Stage Gap,Fix Cost,Has PR,Fix Pattern,PR URL
arc53_DocsGPT,https://github.com/arc53/DocsGPT/issues/195,SP-A: Functional Execution Faults,SP-A2: Core pipeline fault > A2.5: Generation failure,S5: Generation,RC-B: User Misconfigurations,RC-B3: Configuration misunderstanding,S3: Retrieval,2,2.17 hours,No,N/A,N/A
arc53_DocsGPT,https://github.com/arc53/DocsGPT/issues/179,SP-A: Functional Execution Faults,SP-A1: System crash and unavailability,S0: Initialization,RC-B: User Misconfigurations,RC-B1: Resource configuration mistake,S0: Initialization,0,1.1 hours,No,N/A,N/A
arc53_DocsGPT,https://github.com/arc53/DocsGPT/issues/55,SP-A: Functional Execution Faults,SP-A2: Core pipeline fault > A2.1: Indexing failure,S1: Indexing,RC-A: Configuration Bugs,RC-A4: External system adaptation bug > A4.3: Embedding Model,S1: Indexing,0,146.97 hours,Yes,FP3: Checking and robustness,https://github.com/arc53/DocsGPT/pull/91
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/2849,SP-A: Functional Execution Faults,SP-A2: Core pipeline fault > A2.5: Generation failure,S5: Generation,RC-A: Configuration Bugs,RC-A4: External system adaptation bug > A4.1: LLM,S5: Generation,0,50.06 hours,Yes,FP3: Checking and robustness,https://github.com/eosphoros-ai/DB-GPT/pull/2850
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/2846,SP-A: Functional Execution Faults,SP-A2: Core pipeline fault > A2.5: Generation failure,S5: Generation,RC-A: Configuration Bugs,RC-A1: Configuration handling bug,S0: Initialization,5,73.51 hours,Yes,FP2: Component logic and algorithm,https://github.com/eosphoros-ai/DB-GPT/pull/2848
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/2841,SP-A: Functional Execution Faults,SP-A2: Core pipeline fault > A2.0: Initialization failure,S0: Initialization,RC-B: User Misconfigurations,RC-B4: Documentation-induced misconfiguration,S0: Initialization,0,66.89 hours,Yes,FP5: Environment and documentation maintenance,https://github.com/eosphoros-ai/DB-GPT/pull/2840
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/2809,SP-B: Behavior Faults,SP-B2: Inefficient performance,S0: Initialization,RC-A: Configuration Bugs,RC-A5: Resource provisioning and orchestration bug,S0: Initialization,0,21.89 hours,Yes,FP6: Lifecycle and resource scheduling,https://github.com/eosphoros-ai/DB-GPT/pull/2810
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/2777,SP-A: Functional Execution Faults,SP-A2: Core pipeline fault > A2.5: Generation failure,S5: Generation,RC-A: Configuration Bugs,RC-A2: RAG component implementation bug,S5: Generation,0,9.57 hours,Yes,FP4: Static definition and prompt tuning,https://github.com/eosphoros-ai/DB-GPT/pull/2778
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/2766,SP-A: Functional Execution Faults,SP-A2: Core pipeline fault > A2.5: Generation failure,S5: Generation,RC-A: Configuration Bugs,RC-A2: RAG component implementation bug,S5: Generation,0,260.64 hours,Yes,FP2: Component logic and algorithm,https://github.com/eosphoros-ai/DB-GPT/pull/2769
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/2764,SP-A: Functional Execution Faults,SP-A2: Core pipeline fault > A2.1: Indexing failure,S1: Indexing,RC-A: Configuration Bugs,RC-A4: External system adaptation bug > A4.2: Database,S1: Indexing,0,48.24 hours,No,N/A,N/A
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/2751,SP-A: Functional Execution Faults,SP-A2: Core pipeline fault > A2.1: Indexing failure,S1: Indexing,RC-A: Configuration Bugs,RC-A3: Inter-component integration bug,S1: Indexing,0,938.79 hours,Yes,FP2: Component logic and algorithm,https://github.com/eosphoros-ai/DB-GPT/pull/2847
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/2741,SP-B: Behavior Faults,SP-B1: Low-quality result,S5: Generation,RC-A: Configuration Bugs,RC-A3: Inter-component integration bug,S3: Retrieval,2,1313.91 hours,Yes,FP1: Data interaction and mapping,https://github.com/eosphoros-ai/DB-GPT/pull/2812
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/2728,SP-A: Functional Execution Faults,SP-A2: Core pipeline fault > A2.0: Initialization failure,S0: Initialization,RC-A: Configuration Bugs,RC-A5: Resource provisioning and orchestration bug,S0: Initialization,0,2.79 hours,Yes,FP6: Lifecycle and resource scheduling,https://github.com/eosphoros-ai/DB-GPT/pull/2729
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/2718,SP-A: Functional Execution Faults,SP-A2: Core pipeline fault > A2.0: Initialization failure,S0: Initialization,RC-A: Configuration Bugs,RC-A1: Configuration handling bug,S0: Initialization,0,124.7 hours,Yes,FP3: Checking and robustness,https://github.com/eosphoros-ai/DB-GPT/pull/2719
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/2714,SP-A: Functional Execution Faults,SP-A1: System crash and unavailability,S0: Initialization,RC-A: Configuration Bugs,RC-A5: Resource provisioning and orchestration bug,S0: Initialization,0,46.4 hours,Yes,FP5: Environment and documentation maintenance,https://github.com/eosphoros-ai/DB-GPT/pull/2721
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/2710,SP-A: Functional Execution Faults,SP-A2: Core pipeline fault > A2.1: Indexing failure,S1: Indexing,RC-A: Configuration Bugs,RC-A2: RAG component implementation bug,S1: Indexing,0,39.97 hours,Yes,FP3: Checking and robustness,https://github.com/eosphoros-ai/DB-GPT/pull/2712
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/2697,SP-A: Functional Execution Faults,SP-A3: Configuration adherence fault,S0: Initialization,RC-A: Configuration Bugs,RC-A1: Configuration handling bug,S0: Initialization,0,193.46 hours,Yes,FP2: Component logic and algorithm,https://github.com/eosphoros-ai/DB-GPT/pull/2726
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/2694,SP-A: Functional Execution Faults,SP-A2: Core pipeline fault > A2.5: Generation failure,S5: Generation,RC-A: Configuration Bugs,RC-A3: Inter-component integration bug,S5: Generation,0,21.3 hours,Yes,FP1: Data interaction and mapping,https://github.com/eosphoros-ai/DB-GPT/pull/2695
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/2689,SP-B: Behavior Faults,SP-B1: Low-quality result,S5: Generation,RC-A: Configuration Bugs,RC-A5: Resource provisioning and orchestration bug,S0: Initialization,5,170.96 hours,Yes,FP5: Environment and documentation maintenance,https://github.comcom/eosphoros-ai/DB-GPT/pull/2705
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/2637,SP-A: Functional Execution Faults,SP-A2: Core pipeline fault > A2.0: Initialization failure,S0: Initialization,RC-A: Configuration Bugs,RC-A4: External system adaptation bug > A4.2: Database,S0: Initialization,0,97.44 hours,Yes,FP4: Static definition and prompt tuning,https://github.com/eosphoros-ai/DB-GPT/pull/2644
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/2636,SP-A: Functional Execution Faults,SP-A3: Configuration adherence fault,S4: Post-Retrieval Processing,RC-A: Configuration Bugs,RC-A1: Configuration handling bug,S0: Initialization,4,47.09 hours,Yes,FP1: Data interaction and mapping,https://github.com/eosphoros-ai/DB-GPT/pull/2638
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/2607,SP-A: Functional Execution Faults,SP-A2: Core pipeline fault > A2.1: Indexing failure,S1: Indexing,RC-A: Configuration Bugs,RC-A4: External system adaptation bug > A4.3: Embedding Model,S1: Indexing,0,56.89 hours,Yes,FP6: Lifecycle and resource scheduling,https://github.com/eosphoros-ai/DB-GPT/pull/2614
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/2595,SP-A: Functional Execution Faults,SP-A2: Core pipeline fault > A2.5: Generation failure,S5: Generation,RC-A: Configuration Bugs,RC-A3: Inter-component integration bug,S0: Initialization,5,169.15 hours,Yes,FP2: Component logic and algorithm,https://github.com/eosphoros-ai/DB-GPT/pull/2615
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/2576,SP-A: Functional Execution Faults,SP-A2: Core pipeline fault > A2.0: Initialization failure,S0: Initialization,RC-A: Configuration Bugs,RC-A1: Configuration handling bug,S0: Initialization,0,184.1 hours,Yes,FP1: Data interaction and mapping,https://github.com/eosphoros-ai/DB-GPT/pull/2577
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/2562,SP-A: Functional Execution Faults,SP-A2: Core pipeline fault > A2.5: Generation failure,S5: Generation,RC-A: Configuration Bugs,RC-A4: External system adaptation bug > A4.2: Database,S0: Initialization,5,41.93 hours,No,N/A,N/A
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/2554,SP-A: Functional Execution Faults,SP-A2: Core pipeline fault > A2.5: Generation failure,S5: Generation,RC-A: Configuration Bugs,RC-A4: External system adaptation bug > A4.1: LLM,S5: Generation,0,20.84 hours,Yes,FP2: Component logic and algorithm,https://github.com/eosphoros-ai/DB-GPT/pull/2555
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/2495,SP-A: Functional Execution Faults,SP-A2: Core pipeline fault > A2.0: Initialization failure,S0: Initialization,RC-A: Configuration Bugs,RC-A5: Resource provisioning and orchestration bug,S0: Initialization,0,19.66 hours,Yes,FP6: Lifecycle and resource scheduling,https://github.com/eosphoros-ai/DB-GPT/pull/2500
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/2475,SP-B: Behavior Faults,SP-B1: Low-quality result,S5: Generation,RC-A: Configuration Bugs,RC-A2: RAG component implementation bug,S3: Retrieval,2,6.36 hours,Yes,FP5: Environment and documentation maintenance,https://github.com/eosphoros-ai/DB-GPT/pull/2477
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/2469,SP-A: Functional Execution Faults,SP-A2: Core pipeline fault > A2.5: Generation failure,S5: Generation,RC-A: Configuration Bugs,RC-A4: External system adaptation bug > A4.2: Database,S3: Retrieval,2,324.29 hours,Yes,FP1: Data interaction and mapping,https://github.com/eosphoros-ai/DB-GPT/pull/2533
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/2468,SP-A: Functional Execution Faults,SP-A2: Core pipeline fault > A2.3: Retrieval failure,S3: Retrieval,RC-A: Configuration Bugs,RC-A3: Inter-component integration bug,S1: Indexing,2,71.95 hours,Yes,FP1: Data interaction and mapping,https://github.com/eosphoros-ai/DB-GPT/pull/2477
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/2458,SP-A: Functional Execution Faults,SP-A2: Core pipeline fault > A2.1: Indexing failure,S1: Indexing,RC-A: Configuration Bugs,RC-A3: Inter-component integration bug,S1: Indexing,0,93.93 hours,No,N/A,N/A
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/2444,SP-A: Functional Execution Faults,SP-A2: Core pipeline fault > A2.0: Initialization failure,S0: Initialization,RC-A: Configuration Bugs,RC-A5: Resource provisioning and orchestration bug,S0: Initialization,0,56.85 hours,Yes,FP2: Component logic and algorithm,https://github.com/eosphoros-ai/DB-GPT/pull/2461
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/2439,SP-A: Functional Execution Faults,SP-A3: Configuration adherence fault,S5: Generation,RC-A: Configuration Bugs,RC-A4: External system adaptation bug > A4.6: A4.6,S5: Generation,0,13.72 hours,Yes,FP2: Component logic and algorithm,https://github.com/eosphoros-ai/DB-GPT/pull/2443
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/2437,SP-A: Functional Execution Faults,SP-A2: Core pipeline fault > A2.0: Initialization failure,S0: Initialization,RC-A: Configuration Bugs,RC-A4: External system adaptation bug > A4.2: Database,S1: Indexing,1,76.84 hours,Yes,FP2: Component logic and algorithm,https://github.com/eosphoros-ai/DB-GPT/pull/2464
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/2430,SP-A: Functional Execution Faults,SP-A2: Core pipeline fault > A2.0: Initialization failure,S0: Initialization,RC-B: User Misconfigurations,RC-B1: Resource configuration mistake,S0: Initialization,0,0.21 hours,No,N/A,N/A
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/2422,SP-A: Functional Execution Faults,SP-A2: Core pipeline fault > A2.0: Initialization failure,S0: Initialization,RC-A: Configuration Bugs,RC-A4: External system adaptation bug > A4.2: Database,S0: Initialization,0,110.09 hours,Yes,FP3: Checking and robustness,https://github.com/eosphoros-ai/DB-GPT/pull/2465
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/2418,SP-A: Functional Execution Faults,SP-A2: Core pipeline fault > A2.0: Initialization failure,S0: Initialization,RC-A: Configuration Bugs,RC-A2: RAG component implementation bug,S0: Initialization,0,141.71 hours,Yes,FP1: Data interaction and mapping,https://github.com/eosphoros-ai/DB-GPT/pull/2461
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/2417,SP-A: Functional Execution Faults,SP-A2: Core pipeline fault > A2.1: Indexing failure,S1: Indexing,RC-A: Configuration Bugs,RC-A2: RAG component implementation bug,S1: Indexing,0,219.32 hours,Yes,FP2: Component logic and algorithm,https://github.com/eosphoros-ai/DB-GPT/pull/2434
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/2415,SP-A: Functional Execution Faults,SP-A2: Core pipeline fault > A2.0: Initialization failure,S0: Initialization,RC-B: User Misconfigurations,RC-B1: Resource configuration mistake,S0: Initialization,0,70.54 hours,No,N/A,N/A
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/2400,SP-A: Functional Execution Faults,SP-A2: Core pipeline fault > A2.0: Initialization failure,S0: Initialization,RC-A: Configuration Bugs,RC-A2: RAG component implementation bug,S0: Initialization,0,22.18 hours,Yes,FP1: Data interaction and mapping,https://github.com/eosphoros-ai/DB-GPT/pull/2401
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/2399,SP-A: Functional Execution Faults,SP-A2: Core pipeline fault > A2.5: Generation failure,S5: Generation,RC-A: Configuration Bugs,RC-A3: Inter-component integration bug,S5: Generation,0,209.52 hours,Yes,FP1: Data interaction and mapping,https://github.com/eosphoros-ai/DB-GPT/pull/2461
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/2391,SP-A: Functional Execution Faults,SP-A2: Core pipeline fault > A2.5: Generation failure,S5: Generation,RC-A: Configuration Bugs,RC-A3: Inter-component integration bug,S0: Initialization,5,6.03 hours,Yes,FP1: Data interaction and mapping,https://github.com/eosphoros-ai/DB-GPT/pull/2394
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/2353,SP-B: Behavior Faults,SP-B1: Low-quality result,S5: Generation,RC-B: User Misconfigurations,RC-B3: Configuration misunderstanding,S5: Generation,0,0.7 hours,No,N/A,N/A
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/2344,SP-A: Functional Execution Faults,SP-A2: Core pipeline fault > A2.4: Post-retrieval processing failure,S4: Post-Retrieval Processing,RC-A: Configuration Bugs,RC-A4: External system adaptation bug > A4.7: A4.7,S4: Post-Retrieval Processing,0,48.84 hours,No,N/A,N/A
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/2321,SP-A: Functional Execution Faults,SP-A2: Core pipeline fault > A2.1: Indexing failure,S1: Indexing,RC-A: Configuration Bugs,RC-A3: Inter-component integration bug,S1: Indexing,0,4150.73 hours,Yes,FP2: Component logic and algorithm,https://github.com/eosphoros-ai/DB-GPT/pull/2847
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/2315,SP-A: Functional Execution Faults,SP-A2: Core pipeline fault > A2.5: Generation failure,S5: Generation,RC-B: User Misconfigurations,RC-B3: Configuration misunderstanding,S0: Initialization,5,22.88 hours,No,N/A,N/A
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/2288,SP-A: Functional Execution Faults,SP-A2: Core pipeline fault > A2.5: Generation failure,S5: Generation,RC-A: Configuration Bugs,RC-A2: RAG component implementation bug,S5: Generation,0,24.54 hours,Yes,FP2: Component logic and algorithm,https://github.com/eosphoros-ai/DB-GPT/pull/2289
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/2287,SP-A: Functional Execution Faults,SP-A1: System crash and unavailability,S0: Initialization,RC-A: Configuration Bugs,RC-A4: External system adaptation bug > A4.2: Database,S0: Initialization,0,23.71 hours,Yes,FP5: Environment and documentation maintenance,https://github.com/eosphoros-ai/DB-GPT/pull/2290
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/2284,SP-A: Functional Execution Faults,SP-A2: Core pipeline fault > A2.5: Generation failure,S5: Generation,RC-A: Configuration Bugs,RC-A1: Configuration handling bug,S0: Initialization,5,53.01 hours,No,N/A,N/A
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/2261,SP-A: Functional Execution Faults,SP-A3: Configuration adherence fault,S0: Initialization,RC-B: User Misconfigurations,RC-B3: Configuration misunderstanding,S0: Initialization,0,73.88 hours,No,N/A,N/A
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/2224,SP-A: Functional Execution Faults,SP-A2: Core pipeline fault > A2.1: Indexing failure,S1: Indexing,RC-A: Configuration Bugs,RC-A5: Resource provisioning and orchestration bug,S0: Initialization,1,28.8 hours,Yes,FP6: Lifecycle and resource scheduling,https://github.com/dusx1981/DB-GPT/pull/1
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/2219,SP-B: Behavior Faults,SP-B1: Low-quality result,S5: Generation,RC-A: Configuration Bugs,RC-A2: RAG component implementation bug,S5: Generation,0,24.27 hours,Yes,FP2: Component logic and algorithm,https://github.com/eosphoros-ai/DB-GPT/pull/2230
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/2214,SP-A: Functional Execution Faults,SP-A2: Core pipeline fault > A2.0: Initialization failure,S0: Initialization,RC-A: Configuration Bugs,RC-A3: Inter-component integration bug,S0: Initialization,0,47.57 hours,Yes,FP3: Checking and robustness,https://github.com/eosphoros-ai/DB-GPT/pull/2215
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/2206,SP-B: Behavior Faults,SP-B1: Low-quality result,S5: Generation,RC-A: Configuration Bugs,RC-A2: RAG component implementation bug,S5: Generation,0,97.83 hours,Yes,FP2: Component logic and algorithm,https://github.com/eosphoros-ai/DB-GPT/pull/2230
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/2184,SP-A: Functional Execution Faults,SP-A1: System crash and unavailability,S0: Initialization,RC-A: Configuration Bugs,RC-A5: Resource provisioning and orchestration bug,S0: Initialization,0,770.32 hours,Yes,FP6: Lifecycle and resource scheduling,https://github.com/eosphoros-ai/DB-GPT/pull/2290
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/2163,SP-A: Functional Execution Faults,SP-A1: System crash and unavailability,S0: Initialization,RC-A: Configuration Bugs,RC-A5: Resource provisioning and orchestration bug,S0: Initialization,0,1006.74 hours,Yes,FP6: Lifecycle and resource scheduling,https://github.com/eosphoros-ai/DB-GPT/pull/2290
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/2140,SP-A: Functional Execution Faults,SP-A2: Core pipeline fault > A2.1: Indexing failure,S1: Indexing,RC-B: User Misconfigurations,RC-B1: Resource configuration mistake,S0: Initialization,1,0.22 hours,No,N/A,N/A
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/2136,SP-A: Functional Execution Faults,SP-A2: Core pipeline fault > A2.5: Generation failure,S5: Generation,RC-A: Configuration Bugs,RC-A2: RAG component implementation bug,S5: Generation,0,4.77 hours,Yes,FP4: Static definition and prompt tuning,https://github.com/eosphoros-ai/DB-GPT/pull/2137
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/2116,SP-A: Functional Execution Faults,SP-A2: Core pipeline fault > A2.1: Indexing failure,S1: Indexing,RC-B: User Misconfigurations,RC-B1: Resource configuration mistake,S0: Initialization,1,104.1 hours,No,N/A,N/A
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/2068,SP-A: Functional Execution Faults,SP-A1: System crash and unavailability,S5: Generation,RC-A: Configuration Bugs,RC-A5: Resource provisioning and orchestration bug,S0: Initialization,5,241.75 hours,No,N/A,N/A
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/2065,SP-A: Functional Execution Faults,SP-A2: Core pipeline fault > A2.1: Indexing failure,S1: Indexing,RC-A: Configuration Bugs,RC-A4: External system adaptation bug > A4.2: Database,S0: Initialization,1,103.23 hours,No,N/A,N/A
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/1990,SP-A: Functional Execution Faults,SP-A2: Core pipeline fault > A2.0: Initialization failure,S0: Initialization,RC-A: Configuration Bugs,RC-A3: Inter-component integration bug,S0: Initialization,0,0.9 hours,Yes,FP2: Component logic and algorithm,https://github.com/eosphoros-ai/DB-GPT/pull/1989
